Year,Age,Female,Male,Total
1956,0,0.02286,0.028975,0.026
1956,1,0.001961,0.002693,0.002334
1956,2,0.000838,0.001565,0.001209
1956,3,0.000937,0.001202,0.001072
1956,4,0.000527,0.001219,0.000882
1956,5,0.000476,0.000714,0.000598
1956,6,0.000544,0.000731,0.00064
1956,7,0.000437,0.000886,0.000666
1956,8,0.000527,0.000689,0.00061
1956,9,0.000215,0.000775,0.000501
1956,10,0.000262,0.000364,0.000314
1956,11,0.000391,0.000535,0.000465
1956,12,0.000373,0.000335,0.000354
1956,13,0.000232,0.000667,0.000454
1956,14,0.000304,0.001057,0.000689
1956,15,0.000389,0.000809,0.000599
1956,16,0.000403,0.000806,0.000604
1956,17,0.000399,0.001084,0.00074
1956,18,0.000391,0.001528,0.000949
1956,19,0.000437,0.001535,0.000966
1956,20,0.00042,0.001884,0.001156
1956,21,0.000341,0.001829,0.001075
1956,22,0.000511,0.001998,0.001229
1956,23,0.000419,0.001789,0.001072
1956,24,0.000363,0.001686,0.000991
1956,25,0.000493,0.001839,0.001157
1956,26,0.001039,0.00162,0.001324
1956,27,0.000602,0.001946,0.001259
1956,28,0.000831,0.001369,0.001097
1956,29,0.000781,0.0017,0.00124
1956,30,0.000894,0.001823,0.00134
1956,31,0.001201,0.001814,0.001499
1956,32,0.001184,0.001784,0.001478
1956,33,0.001129,0.001366,0.001247
1956,34,0.000982,0.002068,0.001526
1956,35,0.001356,0.001633,0.001491
1956,36,0.001297,0.001727,0.001507
1956,37,0.001344,0.002487,0.001906
1956,38,0.002009,0.002114,0.002061
1956,39,0.001637,0.002869,0.002249
1956,40,0.00175,0.002988,0.00236
1956,41,0.002457,0.003405,0.00292
1956,42,0.001909,0.003095,0.002488
1956,43,0.002282,0.003578,0.002912
1956,44,0.002933,0.004088,0.003491
1956,45,0.003077,0.004408,0.003724
1956,46,0.003301,0.005151,0.004199
1956,47,0.003933,0.005623,0.004747
1956,48,0.0039,0.006985,0.005386
1956,49,0.004195,0.006639,0.005373
1956,50,0.003566,0.006916,0.005173
1956,51,0.005145,0.008079,0.006545
1956,52,0.00613,0.009995,0.00797
1956,53,0.005906,0.010128,0.007907
1956,54,0.006255,0.011153,0.00855
1956,55,0.007324,0.013252,0.010074
1956,56,0.00744,0.012673,0.009865
1956,57,0.00855,0.013355,0.010754
1956,58,0.010075,0.015644,0.012616
1956,59,0.010994,0.01835,0.014345
1956,60,0.011177,0.019303,0.01487
1956,61,0.013069,0.020863,0.016589
1956,62,0.013794,0.024931,0.018783
1956,63,0.016024,0.024986,0.02002
1956,64,0.018612,0.028576,0.023022
1956,65,0.019998,0.030592,0.024659
1956,66,0.021127,0.033107,0.026356
1956,67,0.024159,0.036612,0.029604
1956,68,0.028091,0.04152,0.033982
1956,69,0.030335,0.046152,0.037208
1956,70,0.035998,0.049022,0.041621
1956,71,0.03648,0.054921,0.044432
1956,72,0.045411,0.06018,0.051815
1956,73,0.047875,0.064529,0.055017
1956,74,0.057062,0.073688,0.064078
1956,75,0.060156,0.081996,0.069326
1956,76,0.072672,0.094172,0.081535
1956,77,0.077998,0.099637,0.086774
1956,78,0.09139,0.10972,0.09878
1956,79,0.103939,0.129055,0.114057
1956,80,0.11302,0.144496,0.125415
1956,81,0.123146,0.137655,0.128789
1956,82,0.147301,0.167149,0.155091
1956,83,0.152114,0.171098,0.159395
1956,84,0.166162,0.181297,0.171884
1956,85,0.1764,0.202088,0.185886
1956,86,0.194098,0.267521,0.22004
1956,87,0.217276,0.274943,0.237583
1956,88,0.236815,0.325363,0.268063
1956,89,0.286382,0.311136,0.294798
1956,90,0.28604,0.303178,0.291489
1957,0,0.020115,0.026143,0.023209
1957,1,0.002253,0.002907,0.002589
1957,2,0.001166,0.001748,0.001463
1957,3,0.000816,0.001356,0.001091
1957,4,0.000865,0.001111,0.000991
1957,5,0.00043,0.001037,0.00074
1957,6,0.0004,0.000666,0.000536
1957,7,0.000618,0.000754,0.000687
1957,8,0.000315,0.000535,0.000427
1957,9,0.000382,0.000643,0.000515
1957,10,0.000312,0.000732,0.000527
1957,11,0.000261,0.000474,0.00037
1957,12,0.000365,0.000532,0.000451
1957,13,0.000446,0.000478,0.000462
1957,14,0.000564,0.000668,0.000617
1957,15,0.000514,0.000789,0.000654
1957,16,0.000419,0.000767,0.000594
1957,17,0.000334,0.001466,0.000898
1957,18,0.000619,0.001587,0.001095
1957,19,0.000661,0.001662,0.001144
1957,20,0.000395,0.001922,0.001163
1957,21,0.000505,0.001604,0.001049
1957,22,0.00055,0.002193,0.001349
1957,23,0.000393,0.001668,0.001001
1957,24,0.000718,0.002052,0.001349
1957,25,0.00073,0.002077,0.001396
1957,26,0.000592,0.001894,0.001236
1957,27,0.000724,0.001304,0.00101
1957,28,0.000837,0.001567,0.001196
1957,29,0.000967,0.001622,0.001293
1957,30,0.001068,0.001608,0.001327
1957,31,0.000687,0.001747,0.0012
1957,32,0.001263,0.001569,0.001413
1957,33,0.00095,0.001706,0.001325
1957,34,0.001113,0.001707,0.001411
1957,35,0.001216,0.001642,0.001421
1957,36,0.001078,0.002219,0.001633
1957,37,0.00139,0.002354,0.001862
1957,38,0.001324,0.002391,0.001851
1957,39,0.001415,0.002733,0.00207
1957,40,0.001933,0.002645,0.002284
1957,41,0.001619,0.003117,0.002356
1957,42,0.002421,0.003313,0.002856
1957,43,0.002605,0.003987,0.003277
1957,44,0.002579,0.003383,0.002969
1957,45,0.002224,0.004209,0.003191
1957,46,0.003,0.005529,0.004229
1957,47,0.003117,0.005206,0.00413
1957,48,0.003348,0.005802,0.004528
1957,49,0.004184,0.007447,0.005752
1957,50,0.004535,0.007928,0.006168
1957,51,0.004394,0.008627,0.006419
1957,52,0.005221,0.00916,0.007096
1957,53,0.005835,0.009402,0.007529
1957,54,0.006527,0.010349,0.008335
1957,55,0.006856,0.012714,0.009592
1957,56,0.007558,0.014084,0.010574
1957,57,0.00837,0.014675,0.011281
1957,58,0.009273,0.017182,0.012887
1957,59,0.010003,0.018136,0.013696
1957,60,0.012446,0.020676,0.016183
1957,61,0.012837,0.021198,0.016615
1957,62,0.012661,0.024664,0.018046
1957,63,0.015736,0.027034,0.020764
1957,64,0.019184,0.026781,0.022553
1957,65,0.017756,0.029139,0.022765
1957,66,0.020549,0.034477,0.026629
1957,67,0.026827,0.039369,0.032259
1957,68,0.025679,0.043433,0.033385
1957,69,0.031211,0.047411,0.038253
1957,70,0.033595,0.053233,0.042063
1957,71,0.037962,0.05115,0.043604
1957,72,0.044139,0.058814,0.050411
1957,73,0.044635,0.06524,0.053493
1957,74,0.054022,0.073008,0.062084
1957,75,0.060257,0.078458,0.067866
1957,76,0.068816,0.091157,0.078078
1957,77,0.078484,0.0991,0.086876
1957,78,0.083293,0.105266,0.09209
1957,79,0.089719,0.117401,0.100732
1957,80,0.100718,0.125005,0.110333
1957,81,0.10332,0.143242,0.118798
1957,82,0.118684,0.15166,0.131312
1957,83,0.146253,0.182756,0.160369
1957,84,0.144762,0.172956,0.155384
1957,85,0.171219,0.217282,0.188386
1957,86,0.204798,0.236282,0.216131
1957,87,0.219316,0.244224,0.227803
1957,88,0.225017,0.283031,0.244782
1957,89,0.2553,0.254919,0.255169
1957,90,0.273452,0.309091,0.285353
1958,0,0.019257,0.025004,0.022204
1958,1,0.001762,0.001872,0.001818
1958,2,0.000716,0.001451,0.001093
1958,3,0.000904,0.001336,0.001124
1958,4,0.000771,0.000933,0.000853
1958,5,0.000297,0.000903,0.000607
1958,6,0.000581,0.000843,0.000715
1958,7,0.00035,0.00076,0.00056
1958,8,0.000197,0.000706,0.000458
1958,9,0.000363,0.000605,0.000486
1958,10,0.000336,0.000483,0.000411
1958,11,0.000335,0.000502,0.000421
1958,12,0.000284,0.000585,0.000438
1958,13,0.000388,0.000555,0.000474
1958,14,0.000223,0.000549,0.000388
1958,15,0.000378,0.000609,0.000495
1958,16,0.000214,0.000776,0.0005
1958,17,0.000466,0.001073,0.00077
1958,18,0.000495,0.001172,0.000828
1958,19,0.000736,0.002134,0.001414
1958,20,0.000581,0.001874,0.001234
1958,21,0.000592,0.001806,0.001194
1958,22,0.000459,0.001978,0.001201
1958,23,0.000627,0.001898,0.001239
1958,24,0.000643,0.001721,0.001154
1958,25,0.00052,0.001676,0.001091
1958,26,0.000619,0.001603,0.001107
1958,27,0.00069,0.001687,0.001184
1958,28,0.000592,0.001681,0.001131
1958,29,0.000522,0.00168,0.001095
1958,30,0.001068,0.001842,0.001439
1958,31,0.000656,0.001841,0.00123
1958,32,0.000853,0.001615,0.001226
1958,33,0.000977,0.001827,0.001398
1958,34,0.001153,0.001957,0.001557
1958,35,0.000795,0.002431,0.001582
1958,36,0.001097,0.00173,0.001403
1958,37,0.001513,0.002114,0.001806
1958,38,0.001486,0.002414,0.001943
1958,39,0.001578,0.00246,0.002013
1958,40,0.001398,0.002827,0.0021
1958,41,0.001735,0.003369,0.00254
1958,42,0.001551,0.003347,0.002432
1958,43,0.002385,0.003907,0.003126
1958,44,0.002374,0.004113,0.003219
1958,45,0.002681,0.004198,0.003425
1958,46,0.003006,0.004637,0.0038
1958,47,0.003777,0.005529,0.004627
1958,48,0.003617,0.005355,0.004458
1958,49,0.003708,0.006048,0.00483
1958,50,0.004325,0.006963,0.005592
1958,51,0.00455,0.007882,0.006153
1958,52,0.004891,0.009804,0.007237
1958,53,0.005331,0.009133,0.007137
1958,54,0.005657,0.011115,0.008244
1958,55,0.006666,0.011851,0.009108
1958,56,0.006368,0.012477,0.009211
1958,57,0.008169,0.014753,0.011201
1958,58,0.008601,0.016352,0.012166
1958,59,0.009001,0.018276,0.01322
1958,60,0.010665,0.020338,0.015037
1958,61,0.012204,0.020541,0.015967
1958,62,0.013429,0.022613,0.017552
1958,63,0.013907,0.023064,0.017988
1958,64,0.01503,0.026533,0.020115
1958,65,0.018883,0.028237,0.023004
1958,66,0.019392,0.034396,0.02595
1958,67,0.020857,0.035901,0.027373
1958,68,0.026262,0.039007,0.03174
1958,69,0.028111,0.042405,0.034256
1958,70,0.030301,0.044536,0.036429
1958,71,0.035011,0.048947,0.040965
1958,72,0.039159,0.058936,0.047543
1958,73,0.043823,0.060864,0.051027
1958,74,0.049139,0.068,0.057149
1958,75,0.054571,0.072114,0.061958
1958,76,0.061533,0.083046,0.070428
1958,77,0.072701,0.089052,0.079405
1958,78,0.078518,0.100719,0.087448
1958,79,0.093117,0.107973,0.098979
1958,80,0.09859,0.113362,0.104404
1958,81,0.112829,0.132912,0.120664
1958,82,0.121695,0.142801,0.129727
1958,83,0.138227,0.146169,0.141231
1958,84,0.159576,0.17299,0.164668
1958,85,0.157774,0.201259,0.173881
1958,86,0.175373,0.204872,0.186077
1958,87,0.207328,0.228685,0.214838
1958,88,0.210643,0.277597,0.232919
1958,89,0.225847,0.284821,0.245253
1958,90,0.240276,0.279496,0.253381
1959,0,0.018591,0.025857,0.022315
1959,1,0.001817,0.002206,0.002016
1959,2,0.001285,0.001399,0.001344
1959,3,0.000818,0.001029,0.000926
1959,4,0.000591,0.000992,0.000796
1959,5,0.000397,0.000503,0.000451
1959,6,0.00052,0.00038,0.000449
1959,7,0.000555,0.000771,0.000666
1959,8,0.0004,0.000523,0.000463
1959,9,0.00037,0.0004,0.000386
1959,10,0.000242,0.000396,0.000321
1959,11,0.000239,0.000482,0.000363
1959,12,0.000358,0.000502,0.000431
1959,13,0.000519,0.000517,0.000518
1959,14,0.000194,0.000669,0.000437
1959,15,0.000288,0.0007,0.000497
1959,16,0.000493,0.000837,0.000668
1959,17,0.00039,0.000788,0.000591
1959,18,0.000479,0.001568,0.00102
1959,19,0.000451,0.002127,0.001269
1959,20,0.000546,0.001891,0.001227
1959,21,0.000452,0.001812,0.001131
1959,22,0.000622,0.001477,0.001041
1959,23,0.000566,0.001338,0.00094
1959,24,0.000654,0.001633,0.001122
1959,25,0.00089,0.001562,0.001224
1959,26,0.000643,0.001837,0.001233
1959,27,0.000536,0.001426,0.000978
1959,28,0.001038,0.001664,0.001349
1959,29,0.000587,0.001295,0.000939
1959,30,0.000689,0.001374,0.001015
1959,31,0.000972,0.001513,0.001234
1959,32,0.000768,0.001379,0.001067
1959,33,0.000942,0.001872,0.001402
1959,34,0.001097,0.00156,0.001329
1959,35,0.001043,0.002033,0.001515
1959,36,0.001143,0.001919,0.001517
1959,37,0.001478,0.002376,0.001914
1959,38,0.001637,0.002731,0.002174
1959,39,0.001712,0.002391,0.002046
1959,40,0.001146,0.002573,0.001842
1959,41,0.002079,0.002659,0.002364
1959,42,0.002085,0.002777,0.002426
1959,43,0.001675,0.003582,0.00261
1959,44,0.00203,0.004133,0.003053
1959,45,0.0024,0.004088,0.00323
1959,46,0.002489,0.004737,0.003589
1959,47,0.00351,0.004925,0.004198
1959,48,0.003563,0.005796,0.004644
1959,49,0.003651,0.006329,0.004943
1959,50,0.003359,0.0072,0.005202
1959,51,0.004888,0.008608,0.006673
1959,52,0.00468,0.007989,0.00627
1959,53,0.005535,0.009027,0.007201
1959,54,0.006311,0.011381,0.008717
1959,55,0.006116,0.01241,0.009084
1959,56,0.007307,0.013797,0.010354
1959,57,0.006918,0.013896,0.010153
1959,58,0.008413,0.016661,0.012194
1959,59,0.009082,0.016407,0.012434
1959,60,0.010197,0.020028,0.014643
1959,61,0.011705,0.020259,0.015547
1959,62,0.013566,0.023396,0.017975
1959,63,0.013202,0.024256,0.018131
1959,64,0.015895,0.027229,0.02091
1959,65,0.01653,0.029207,0.022097
1959,66,0.017614,0.029414,0.022777
1959,67,0.021317,0.038052,0.028567
1959,68,0.024412,0.037926,0.030218
1959,69,0.027117,0.042546,0.033689
1959,70,0.029887,0.045049,0.036344
1959,71,0.032802,0.052128,0.041045
1959,72,0.037983,0.057482,0.046229
1959,73,0.04285,0.059132,0.049668
1959,74,0.046446,0.070323,0.056431
1959,75,0.055145,0.071313,0.061953
1959,76,0.06198,0.081579,0.070145
1959,77,0.069036,0.089461,0.077398
1959,78,0.078227,0.102054,0.087887
1959,79,0.081593,0.108184,0.092151
1959,80,0.099821,0.116129,0.106225
1959,81,0.114081,0.141755,0.124831
1959,82,0.124665,0.145098,0.132525
1959,83,0.135887,0.152154,0.142033
1959,84,0.157099,0.16515,0.160114
1959,85,0.16785,0.197629,0.17903
1959,86,0.197887,0.21087,0.202619
1959,87,0.211094,0.231527,0.218364
1959,88,0.2001,0.239571,0.213744
1959,89,0.248925,0.3328,0.275909
1959,90,0.277818,0.287623,0.280892
1960,0,0.018421,0.024644,0.021598
1960,1,0.001585,0.002267,0.001934
1960,2,0.001514,0.001312,0.001411
1960,3,0.000779,0.001278,0.001035
1960,4,0.00041,0.001125,0.000777
1960,5,0.000416,0.000729,0.000576
1960,6,0.000423,0.000624,0.000525
1960,7,0.000273,0.00069,0.000486
1960,8,0.000354,0.000314,0.000333
1960,9,0.000225,0.000618,0.000426
1960,10,0.000272,0.000543,0.00041
1960,11,0.000217,0.000372,0.000296
1960,12,0.000263,0.000483,0.000375
1960,13,0.000404,0.000569,0.000488
1960,14,0.000234,0.000449,0.000344
1960,15,0.000238,0.000528,0.000386
1960,16,0.000263,0.000936,0.000603
1960,17,0.000434,0.001074,0.000756
1960,18,0.000497,0.001335,0.000917
1960,19,0.000426,0.001339,0.000881
1960,20,0.000473,0.001703,0.001094
1960,21,0.00067,0.001866,0.00127
1960,22,0.000537,0.00181,0.001161
1960,23,0.000559,0.001975,0.001249
1960,24,0.000737,0.001448,0.001087
1960,25,0.000557,0.001531,0.001046
1960,26,0.000921,0.001422,0.00117
1960,27,0.000612,0.001446,0.001027
1960,28,0.000614,0.001289,0.00095
1960,29,0.000761,0.001389,0.001073
1960,30,0.000866,0.001315,0.001085
1960,31,0.000597,0.001869,0.001215
1960,32,0.000716,0.002091,0.001386
1960,33,0.000799,0.001738,0.00126
1960,34,0.000857,0.00184,0.001339
1960,35,0.000994,0.001929,0.001439
1960,36,0.001393,0.001596,0.001491
1960,37,0.001396,0.002147,0.001759
1960,38,0.001379,0.002136,0.001746
1960,39,0.001155,0.002218,0.001675
1960,40,0.001653,0.002969,0.002296
1960,41,0.001661,0.002276,0.001962
1960,42,0.001633,0.003304,0.002451
1960,43,0.002449,0.003815,0.003119
1960,44,0.002475,0.004011,0.003226
1960,45,0.002257,0.003965,0.003096
1960,46,0.002731,0.00451,0.003603
1960,47,0.002963,0.005712,0.004306
1960,48,0.002951,0.005536,0.004204
1960,49,0.003845,0.00631,0.005035
1960,50,0.003708,0.006081,0.004855
1960,51,0.004127,0.007544,0.005765
1960,52,0.004577,0.009158,0.006774
1960,53,0.005042,0.009804,0.007323
1960,54,0.006154,0.010638,0.008284
1960,55,0.005746,0.012024,0.008707
1960,56,0.006297,0.011953,0.008955
1960,57,0.006933,0.013921,0.010201
1960,58,0.00901,0.015694,0.012093
1960,59,0.009559,0.01744,0.013151
1960,60,0.010446,0.019042,0.014357
1960,61,0.011952,0.022009,0.016471
1960,62,0.012257,0.023316,0.017186
1960,63,0.014125,0.025654,0.019254
1960,64,0.016386,0.029849,0.022336
1960,65,0.017252,0.03079,0.023207
1960,66,0.018855,0.033455,0.025217
1960,67,0.021527,0.037857,0.028597
1960,68,0.025012,0.038103,0.030633
1960,69,0.027312,0.043851,0.034363
1960,70,0.030722,0.046902,0.037555
1960,71,0.0316,0.050597,0.039608
1960,72,0.041504,0.056989,0.048029
1960,73,0.042779,0.061047,0.050422
1960,74,0.048881,0.069544,0.057461
1960,75,0.052883,0.075147,0.062093
1960,76,0.066979,0.083021,0.073643
1960,77,0.073415,0.10026,0.084479
1960,78,0.080369,0.106736,0.091036
1960,79,0.087387,0.110528,0.096615
1960,80,0.104622,0.125339,0.112727
1960,81,0.109235,0.138288,0.120462
1960,82,0.1287,0.147617,0.135924
1960,83,0.142902,0.162439,0.150348
1960,84,0.153166,0.182338,0.164047
1960,85,0.172459,0.187488,0.178012
1960,86,0.196009,0.21497,0.203069
1960,87,0.212764,0.245246,0.224389
1960,88,0.236243,0.264263,0.245962
1960,89,0.257727,0.294904,0.27027
1960,90,0.291146,0.30628,0.295872
1961,0,0.0187,0.025051,0.021933
1961,1,0.001274,0.00174,0.001511
1961,2,0.000882,0.001384,0.001139
1961,3,0.000939,0.000984,0.000962
1961,4,0.000773,0.000937,0.000857
1961,5,0.000764,0.000751,0.000757
1961,6,0.000414,0.000751,0.000585
1961,7,0.000345,0.000501,0.000424
1961,8,0.000269,0.00033,0.0003
1961,9,0.000297,0.000616,0.00046
1961,10,0.000317,0.000441,0.00038
1961,11,0.000288,0.000508,0.0004
1961,12,0.000305,0.000455,0.000381
1961,13,0.000277,0.000447,0.000364
1961,14,0.000388,0.000443,0.000416
1961,15,0.000249,0.000524,0.000389
1961,16,0.000418,0.000966,0.000696
1961,17,0.000527,0.001181,0.000855
1961,18,0.000433,0.001448,0.000942
1961,19,0.000492,0.001994,0.001252
1961,20,0.000725,0.002125,0.001433
1961,21,0.00052,0.001545,0.001035
1961,22,0.000447,0.002028,0.00123
1961,23,0.000479,0.001748,0.001102
1961,24,0.000483,0.001686,0.001083
1961,25,0.000376,0.001481,0.000933
1961,26,0.000643,0.001758,0.001205
1961,27,0.000482,0.001445,0.000963
1961,28,0.000637,0.001332,0.000984
1961,29,0.000716,0.001268,0.00099
1961,30,0.000609,0.001366,0.000984
1961,31,0.000795,0.001631,0.001208
1961,32,0.000779,0.001665,0.001211
1961,33,0.000977,0.001781,0.001368
1961,34,0.001207,0.001702,0.001447
1961,35,0.001257,0.002121,0.001672
1961,36,0.001472,0.001336,0.001407
1961,37,0.001392,0.00212,0.001743
1961,38,0.00123,0.001913,0.00156
1961,39,0.001474,0.002357,0.001901
1961,40,0.001756,0.002899,0.002314
1961,41,0.001818,0.003103,0.002447
1961,42,0.002467,0.003068,0.00276
1961,43,0.002128,0.003223,0.002663
1961,44,0.002033,0.003562,0.002782
1961,45,0.002639,0.003787,0.003203
1961,46,0.002545,0.004304,0.003408
1961,47,0.002703,0.005222,0.003937
1961,48,0.003512,0.005259,0.004364
1961,49,0.003708,0.006519,0.005068
1961,50,0.003819,0.006635,0.005179
1961,51,0.004043,0.007281,0.005606
1961,52,0.004738,0.008809,0.006687
1961,53,0.005759,0.009643,0.007613
1961,54,0.00631,0.011397,0.008734
1961,55,0.005962,0.012556,0.00908
1961,56,0.005889,0.012595,0.00904
1961,57,0.007957,0.014672,0.011101
1961,58,0.008161,0.01594,0.011783
1961,59,0.008677,0.018231,0.013058
1961,60,0.009491,0.02046,0.014464
1961,61,0.011042,0.021071,0.015577
1961,62,0.012818,0.023657,0.017654
1961,63,0.012537,0.026909,0.018893
1961,64,0.013993,0.027545,0.019968
1961,65,0.016653,0.029264,0.02219
1961,66,0.017545,0.034359,0.024882
1961,67,0.019175,0.035987,0.026422
1961,68,0.02365,0.036362,0.029104
1961,69,0.026624,0.041489,0.032956
1961,70,0.028418,0.043887,0.03496
1961,71,0.033255,0.053749,0.041815
1961,72,0.034389,0.059181,0.044703
1961,73,0.040577,0.061011,0.0491
1961,74,0.047592,0.06874,0.056357
1961,75,0.050923,0.070774,0.059076
1961,76,0.059116,0.078451,0.067003
1961,77,0.070648,0.086243,0.077054
1961,78,0.07064,0.099662,0.082478
1961,79,0.080738,0.11129,0.0929
1961,80,0.090339,0.113477,0.099374
1961,81,0.098348,0.119787,0.106621
1961,82,0.115544,0.150282,0.128726
1961,83,0.128414,0.144461,0.134462
1961,84,0.13926,0.170435,0.150959
1961,85,0.167205,0.177839,0.171115
1961,86,0.173689,0.210173,0.186976
1961,87,0.191911,0.215869,0.200668
1961,88,0.194594,0.218816,0.203092
1961,89,0.221327,0.251015,0.231483
1961,90,0.244493,0.298957,0.262314
1962,0,0.019494,0.024695,0.022148
1962,1,0.002016,0.001947,0.001981
1962,2,0.000908,0.001344,0.00113
1962,3,0.000626,0.001072,0.000854
1962,4,0.000725,0.000845,0.000786
1962,5,0.000694,0.000729,0.000712
1962,6,0.000542,0.000924,0.000737
1962,7,0.000359,0.000488,0.000425
1962,8,0.000362,0.000612,0.000488
1962,9,0.000166,0.000529,0.00035
1962,10,0.00019,0.000456,0.000326
1962,11,0.00035,0.00038,0.000366
1962,12,0.000251,0.00049,0.000372
1962,13,0.000423,0.00048,0.000452
1962,14,0.00024,0.000578,0.000411
1962,15,0.00041,0.000737,0.000576
1962,16,0.000343,0.000889,0.000621
1962,17,0.000483,0.001103,0.000799
1962,18,0.000455,0.001621,0.001043
1962,19,0.000479,0.001735,0.001112
1962,20,0.000452,0.001626,0.001047
1962,21,0.000626,0.00167,0.001154
1962,22,0.000504,0.001897,0.001205
1962,23,0.000485,0.001317,0.0009
1962,24,0.000518,0.001449,0.000981
1962,25,0.000474,0.001412,0.000945
1962,26,0.000643,0.001596,0.001125
1962,27,0.000684,0.001437,0.001064
1962,28,0.000852,0.001395,0.001124
1962,29,0.000605,0.001288,0.000946
1962,30,0.00081,0.001609,0.001208
1962,31,0.000904,0.001834,0.001366
1962,32,0.001042,0.001927,0.001479
1962,33,0.000798,0.001537,0.001159
1962,34,0.00089,0.001541,0.001207
1962,35,0.000989,0.001957,0.001459
1962,36,0.000961,0.001674,0.001305
1962,37,0.001174,0.002189,0.001663
1962,38,0.001253,0.002652,0.001929
1962,39,0.001435,0.002904,0.002148
1962,40,0.001782,0.002858,0.002305
1962,41,0.001803,0.002766,0.002274
1962,42,0.002114,0.00334,0.002715
1962,43,0.002332,0.003719,0.003009
1962,44,0.002253,0.003683,0.002953
1962,45,0.002802,0.004552,0.00366
1962,46,0.002159,0.004996,0.003553
1962,47,0.002956,0.005167,0.004039
1962,48,0.003123,0.006025,0.004543
1962,49,0.003487,0.006589,0.004997
1962,50,0.003657,0.007001,0.005271
1962,51,0.004712,0.007424,0.006019
1962,52,0.004851,0.008564,0.006638
1962,53,0.005024,0.00899,0.006915
1962,54,0.005335,0.011068,0.00806
1962,55,0.006336,0.011058,0.008577
1962,56,0.006999,0.013657,0.010134
1962,57,0.007243,0.016301,0.011478
1962,58,0.008612,0.016737,0.012397
1962,59,0.009076,0.017844,0.013137
1962,60,0.009514,0.019145,0.013908
1962,61,0.010213,0.022059,0.015553
1962,62,0.012232,0.025233,0.018072
1962,63,0.014168,0.025565,0.019219
1962,64,0.01624,0.02775,0.021294
1962,65,0.017168,0.032078,0.023695
1962,66,0.020334,0.033416,0.026034
1962,67,0.019473,0.03717,0.027127
1962,68,0.024454,0.040803,0.031438
1962,69,0.028106,0.044364,0.035025
1962,70,0.029559,0.0483,0.037468
1962,71,0.035276,0.05209,0.04231
1962,72,0.03604,0.058859,0.045457
1962,73,0.040713,0.068765,0.052221
1962,74,0.04994,0.071079,0.058644
1962,75,0.052561,0.078797,0.063306
1962,76,0.06111,0.08463,0.070647
1962,77,0.069742,0.097623,0.080961
1962,78,0.083311,0.103658,0.091556
1962,79,0.087707,0.107877,0.095809
1962,80,0.101675,0.120786,0.109158
1962,81,0.110641,0.137978,0.121184
1962,82,0.128982,0.153907,0.138442
1962,83,0.139557,0.165188,0.149116
1962,84,0.156509,0.185879,0.16739
1962,85,0.18042,0.201769,0.188352
1962,86,0.199069,0.236324,0.21252
1962,87,0.187047,0.253677,0.210618
1962,88,0.235807,0.248607,0.240377
1962,89,0.24515,0.28576,0.259205
1962,90,0.282398,0.287878,0.28422
1963,0,0.018249,0.024241,0.021309
1963,1,0.001463,0.001585,0.001525
1963,2,0.000727,0.001468,0.001104
1963,3,0.000837,0.00157,0.00121
1963,4,0.000666,0.001086,0.000881
1963,5,0.000674,0.000646,0.00066
1963,6,0.000597,0.000657,0.000628
1963,7,0.00042,0.000604,0.000514
1963,8,0.000284,0.000531,0.000409
1963,9,0.000309,0.000582,0.000446
1963,10,0.000372,0.000406,0.000389
1963,11,0.000232,0.000399,0.000317
1963,12,0.000226,0.000414,0.000322
1963,13,0.000243,0.000564,0.000405
1963,14,0.000214,0.000487,0.000351
1963,15,0.00021,0.000809,0.000511
1963,16,0.000457,0.000812,0.000636
1963,17,0.000352,0.000874,0.000618
1963,18,0.000504,0.001322,0.000919
1963,19,0.000374,0.00157,0.000978
1963,20,0.000546,0.001439,0.000998
1963,21,0.000681,0.00166,0.001178
1963,22,0.000375,0.00169,0.001041
1963,23,0.000328,0.001338,0.000837
1963,24,0.00031,0.001468,0.000891
1963,25,0.000656,0.001476,0.001067
1963,26,0.000468,0.001405,0.00094
1963,27,0.000758,0.001404,0.001086
1963,28,0.00063,0.001511,0.001076
1963,29,0.000695,0.001205,0.000952
1963,30,0.000725,0.00165,0.001188
1963,31,0.000929,0.001594,0.00126
1963,32,0.000897,0.001364,0.001129
1963,33,0.000884,0.00186,0.001366
1963,34,0.000742,0.001979,0.001346
1963,35,0.001274,0.001882,0.001571
1963,36,0.001113,0.001994,0.001541
1963,37,0.001111,0.00246,0.001763
1963,38,0.000934,0.002113,0.001503
1963,39,0.001221,0.002878,0.002023
1963,40,0.001695,0.00299,0.002325
1963,41,0.001646,0.002781,0.002199
1963,42,0.001666,0.003714,0.00267
1963,43,0.002191,0.003583,0.002874
1963,44,0.002392,0.004106,0.003229
1963,45,0.002316,0.004762,0.003514
1963,46,0.002606,0.004812,0.003688
1963,47,0.003173,0.006313,0.004716
1963,48,0.003341,0.005209,0.004256
1963,49,0.003746,0.006457,0.00507
1963,50,0.003881,0.006766,0.005284
1963,51,0.004056,0.008606,0.006248
1963,52,0.004866,0.008987,0.006846
1963,53,0.005282,0.008887,0.00701
1963,54,0.00537,0.010417,0.007767
1963,55,0.006221,0.013189,0.00952
1963,56,0.006715,0.012802,0.009593
1963,57,0.007473,0.015924,0.011434
1963,58,0.008359,0.016363,0.012081
1963,59,0.008612,0.018221,0.013064
1963,60,0.010452,0.019523,0.01463
1963,61,0.011585,0.020531,0.015644
